symbol
NSE:NIFTY50-INDEX
NSE:RELIANCE-EQ
NSE:HDFCBANK-EQ
NSE:ICICIBANK-EQ
NSE:SBIN-EQ
NSE:AXISBANK-EQ
NSE:KOTAKBANK-EQ
NSE:BAJFINANCE-EQ
NSE:INFY-EQ
NSE:TCS-EQ
NSE:BHARTIARTL-EQ
NSE:ITC-EQ
NSE:HINDUNILVR-EQ
NSE:NESTLEIND-EQ
NSE:LT-EQ
NSE:MARUTI-EQ
NSE:M&M-EQ
NSE:SUNPHARMA-EQ
NSE:TATASTEEL-EQ
NSE:NTPC-EQ
NSE:TITAN-EQ
