date,kind,open,close,note
2023-11-12,muhurat,18:15,19:15,Diwali Muhurat trading (Sunday); evening session is outside the 1-min store's 09:15-15:29 window
2024-01-20,full,09:15,15:30,Saturday session in place of the 2024-01-22 special holiday
2024-03-02,special,09:15,12:30,Special live trading from the DR site: 09:15-10:00 and 11:30-12:30 (NSE lists it as a holiday)
2024-05-18,special,09:15,12:30,Special live trading from the DR site: 09:15-10:00 and 11:30-12:30
2024-11-01,muhurat,18:00,19:00,Diwali Muhurat trading; no regular session (NSE's holiday list omits this day)
2025-02-01,full,09:15,15:30,Union Budget (Saturday)
2025-10-21,muhurat,13:45,14:45,Diwali Muhurat trading; no regular session
2026-02-01,full,09:15,15:30,Union Budget (Sunday)
